日時,燃料,弾薬,鋼材,ボーキ,高速建造材,高速修復材,開発資材,改修資材,司令部Lv,提督Exp
2015/09/11 18:34:36,10916,4365,24825,21839,669,165,675,77,104,2697216
2015/09/11 18:44:32,10925,4374,24834,21842,669,165,675,77,104,2697216
2015/09/11 19:00:19,10899,4365,24852,21848,669,165,675,77,104,2697376
2015/09/11 19:55:13,11122,4619,24926,21886,669,165,675,77,104,2697416
2015/09/11 19:59:26,11125,4622,24929,21887,669,165,675,77,104,2697416
2015/09/11 20:00:17,11128,4625,24932,21888,669,165,675,77,104,2697416
2015/09/11 20:15:58,11048,4585,24934,21893,669,165,675,77,104,2697704
2015/09/11 20:42:08,11156,4723,24925,21902,669,165,675,77,104,2698165
2015/09/11 21:00:17,10970,5142,25326,21988,669,165,675,77,104,2698615
2015/09/11 21:10:00,10979,5151,25335,21991,669,165,675,77,104,2698775
2015/09/11 21:11:20,10936,5123,25335,21991,669,165,675,77,104,2698775
2015/09/11 21:30:46,10979,5270,25346,22018,669,165,675,77,104,2699103
2015/09/11 21:52:47,10981,5278,25360,22105,669,165,675,77,104,2699133
2015/09/11 22:01:12,10905,5233,25369,22108,669,165,675,77,104,2699549
2015/09/11 22:32:28,10731,5141,25372,22118,669,165,675,77,104,2699933
2015/09/11 22:46:57,10681,5121,25377,22123,669,165,675,77,104,2700093
2015/09/12 09:53:42,11261,5752,25994,22345,669,165,675,77,104,2700221
2015/09/12 10:00:50,11583,5593,26543,23178,669,165,676,77,104,2700541
2015/09/12 12:28:44,11276,5093,26740,23127,670,165,676,77,104,2700631
2015/09/12 12:35:58,12018,4812,25769,23320,672,167,671,77,104,2700791
2015/09/12 13:24:04,12094,4924,25896,23416,672,170,673,77,104,2701239
2015/09/12 13:34:47,11961,4865,25955,23549,673,170,674,77,104,2701749
2015/09/12 22:19:20,12297,5284,26468,23724,673,170,674,77,104,2702197
2015/09/12 22:20:33,12297,5284,26468,23724,673,170,674,77,104,2702197
2015/09/12 22:22:45,12500,5487,26491,23745,673,170,674,77,104,2702237
2015/09/12 22:59:46,8673,3579,21976,18643,673,172,659,77,104,2703192
2015/09/12 23:00:04,8685,3591,22016,18643,673,172,659,77,104,2703222
2015/09/12 23:06:21,8567,3531,21977,18645,673,172,659,77,104,2703510
2015/09/13 16:41:24,10043,2923,22932,21232,677,179,662,76,104,2711222
2015/09/13 17:30:06,9977,2842,22980,21324,677,179,662,76,104,2711632
2015/09/13 18:03:30,10169,2970,22947,21410,677,179,662,76,104,2712474
2015/09/13 19:27:05,10309,3128,23049,21534,677,179,662,76,104,2712886
2015/09/13 20:01:43,10597,3389,23097,21646,677,179,662,76,104,2713761
2015/09/13 21:22:50,10489,3260,23174,21828,677,179,662,76,104,2714163
2015/09/14 18:19:24,12280,3871,25508,23837,679,185,669,77,104,2727003
2015/09/14 19:53:09,12420,2384,25337,24737,681,187,666,77,104,2727473
2015/09/14 20:06:34,12612,2609,25373,24763,681,187,666,77,104,2729249
2015/09/14 21:00:31,12097,1579,25665,24571,681,187,666,77,104,2736392
2015/09/14 22:03:36,11212,1654,25362,24893,681,186,670,81,104,2746627
2015/09/14 23:06:12,10328,929,25550,24754,681,185,670,81,104,2753351
2015/09/15 00:00:19,10503,813,25629,25472,681,186,672,81,104,2757388
2015/09/15 12:25:12,11113,1965,27228,26315,684,196,673,80,104,2760615
2015/09/15 13:11:14,11185,2270,27260,26351,684,197,673,80,104,2761083
2015/09/15 14:01:17,10872,2071,27972,26723,687,192,686,83,104,2774160
2015/09/15 16:04:43,6840,638,23513,20396,687,193,668,85,104,2781473
2015/09/15 17:05:29,6964,1003,24344,20327,688,195,669,85,104,2783340
2015/09/15 18:14:53,6885,1361,24455,20372,688,194,669,85,104,2784028
2015/09/15 18:16:05,6857,1461,24485,20372,688,194,669,85,104,2784048
2015/09/15 18:21:45,6791,1430,24484,20374,688,194,669,85,104,2784208
2015/09/15 18:55:21,6754,1536,24547,20385,688,194,669,85,104,2784356
2015/09/15 19:05:08,6763,1545,24556,20388,688,194,669,85,104,2784356
2015/09/15 19:20:24,6955,1770,24592,20414,688,194,669,85,104,2784396
2015/09/15 20:17:05,7135,2424,25100,20833,688,196,671,86,104,2785016
2015/09/15 20:48:19,7174,2680,25175,20865,688,196,671,86,104,2785460
2015/09/15 21:06:17,7164,2798,25223,20871,688,196,671,86,104,2785480
2015/09/15 21:15:34,7127,2778,25232,20874,688,196,671,86,104,2785640
2015/09/15 22:00:19,7012,2965,25313,20889,688,198,671,86,104,2786000
2015/09/15 23:09:54,7267,3544,25456,20933,688,198,671,86,104,2786765
2015/09/15 23:27:02,7211,3633,25504,20939,688,199,671,86,104,2786913
2015/09/15 23:51:27,7412,3867,25549,20968,688,199,671,86,104,2786953
2015/09/16 00:09:39,7199,3956,25300,20974,688,199,671,86,104,2787133
2015/09/16 00:35:30,7401,4267,25354,20982,688,200,671,86,104,2787358
2015/09/16 11:55:33,8689,4467,26037,22507,691,207,673,86,104,2794124
2015/09/16 12:01:19,9476,5354,26444,22630,692,208,675,86,104,2794274
2015/09/16 13:13:31,6353,3294,21849,16014,694,210,656,86,104,2797400
2015/09/16 13:35:05,6409,3428,21891,16122,694,210,656,86,104,2797758
2015/09/16 14:01:45,6420,3439,21918,16211,694,210,656,86,104,2797916
2015/09/16 15:02:04,6307,3264,22145,16221,694,210,657,86,104,2798847
2015/09/16 16:03:45,6343,3289,22096,16343,694,209,657,86,104,2799525
2015/09/16 16:10:18,6275,2981,21905,16425,694,209,657,86,104,2799715
2015/09/16 17:07:21,6558,3254,21923,16530,694,209,657,86,104,2800400
2015/09/16 18:01:38,6320,2856,21682,16618,694,209,657,86,104,2801380
2015/09/16 19:23:05,6522,3187,21715,16826,694,209,657,86,104,2802373
2015/09/16 20:06:21,6528,3308,21730,16942,694,209,657,86,104,2803083
2015/09/16 20:10:24,6512,3299,21726,17023,694,209,657,86,104,2803113
2015/09/16 21:01:00,6398,3239,21757,17120,694,209,657,86,104,2803591
2015/09/16 21:31:36,6795,3651,21808,17231,694,209,657,86,104,2803866
2015/09/16 22:00:21,6779,3649,21838,17241,694,209,657,86,104,2804026
2015/09/17 13:22:49,8279,3152,22760,19140,697,218,656,86,104,2809581
2015/09/17 14:00:33,9373,3737,23008,19354,697,218,657,86,104,2814381
2015/09/17 14:14:32,9589,3543,23620,19488,698,219,658,86,104,2814759
2015/09/17 15:01:00,9153,2231,23824,19529,699,219,658,89,104,2820214
2015/09/17 16:06:28,10711,2813,24136,20052,699,215,659,89,104,2820933
2015/09/17 17:25:04,11777,2687,24093,20359,699,208,659,89,104,2821977
2015/09/17 18:16:13,11696,2658,24106,20456,699,208,659,89,104,2822327
2015/09/17 18:21:41,12214,3185,24102,20559,699,208,659,89,104,2822647
2015/09/17 18:49:05,12241,3212,24129,20568,699,208,659,89,104,2822647
2015/09/17 19:00:07,12191,3180,24141,20652,699,208,659,89,104,2822837
2015/09/17 19:25:22,12215,3204,24165,20660,699,208,659,89,104,2822837
2015/09/17 19:32:52,12224,3213,24174,20663,699,208,659,89,104,2822837
2015/09/17 20:00:11,12316,3374,24214,20773,699,208,659,89,104,2823195
2015/09/17 21:07:50,12405,3516,24224,20875,699,208,659,89,104,2823846
2015/09/17 21:09:16,12392,3507,24227,20956,699,208,659,89,104,2823876
2015/09/17 21:10:17,12392,3507,24227,20956,699,208,659,89,104,2823876
2015/09/17 22:03:47,12539,3717,24302,20995,699,208,659,89,104,2824236
2015/09/17 22:07:47,12484,3681,24305,21076,699,208,659,89,104,2824394
2015/09/17 22:35:12,12506,3708,24323,21085,699,208,659,89,104,2824394
2015/09/17 23:03:32,12857,4086,24374,21196,699,208,659,89,104,2824797
2015/09/17 23:31:00,12838,4080,24401,21205,699,208,659,89,104,2824925
2015/09/17 23:50:11,12810,4065,24419,21211,699,208,659,89,104,2825053
2015/09/18 08:32:44,13136,4587,24570,21385,699,208,659,89,104,2825053
2015/09/18 09:00:45,13055,2678,24223,21975,701,209,661,89,104,2825921
2015/09/18 09:51:51,13279,2981,24492,22252,702,215,661,89,104,2826639
2015/09/18 10:03:31,13275,2981,24504,22336,702,215,661,89,104,2826669
2015/09/18 10:08:59,13458,3197,24531,22359,702,215,661,89,104,2826709
2015/09/18 10:43:40,13400,3184,24513,22450,702,215,661,89,104,2826899
2015/09/18 10:45:50,13403,3187,24516,22451,702,215,661,89,104,2826899
2015/09/18 11:11:58,13682,3430,24543,22460,702,215,661,89,104,2826944
2015/09/18 11:12:24,13682,3430,24543,22460,702,215,661,89,104,2826944
2015/09/18 11:12:57,13682,3430,24543,22460,702,215,661,89,104,2826944
2015/09/18 12:24:02,13841,3669,24578,22585,702,215,661,89,104,2827174
2015/09/18 12:25:59,13825,3657,24578,22665,702,215,661,89,104,2827204
2015/09/18 13:05:42,13930,3786,24817,22778,702,215,662,89,104,2827652
2015/09/18 13:39:59,14453,4346,25124,23091,703,215,663,89,104,2828023
2015/09/18 14:07:05,14464,4361,25151,23180,703,215,663,89,104,2828053
2015/09/18 14:38:13,14507,4496,25166,23291,703,215,663,89,104,2828571
2015/09/18 15:18:34,14549,4538,25208,23305,703,215,663,89,104,2828571
2015/09/18 15:19:39,14533,4526,25208,23385,703,215,663,89,104,2828601
2015/09/18 15:38:32,14757,4727,25226,23391,703,215,663,89,104,2828806
2015/09/18 16:01:51,14765,4739,25250,23479,703,215,663,89,104,2828996
2015/09/18 16:04:42,14687,4709,25186,23480,703,215,663,89,104,2828996
2015/09/18 16:57:04,14805,4895,25252,23599,703,215,663,89,104,2829386
2015/09/18 17:17:48,14762,4883,25239,23606,703,215,663,89,104,2829514
2015/09/18 17:30:03,14714,4852,25251,23690,703,215,663,89,104,2829704
2015/09/18 18:21:58,14898,5082,25323,23728,703,215,663,89,104,2829872
2015/09/18 19:01:51,14477,4556,25349,23651,703,215,664,89,104,2830563
2015/09/18 19:02:39,14461,4544,25349,23731,703,215,664,89,104,2830593
2015/09/18 20:06:51,14542,4735,25451,23854,703,215,664,89,104,2831079
2015/09/18 20:13:08,14498,4702,25457,23856,703,215,664,89,104,2831239
2015/09/18 21:01:38,15019,5221,25526,23973,703,215,664,89,104,2831687
2015/09/18 22:03:03,14856,5110,25589,24154,703,215,664,89,104,2832291
2015/09/18 22:03:35,14856,5110,25589,24154,703,215,664,89,104,2832291
2015/09/18 22:04:45,14856,5110,25589,24154,703,215,664,89,104,2832291
2015/09/18 23:06:50,15080,5371,25673,24276,703,215,664,89,104,2832521
2015/09/18 23:45:25,15307,5577,25712,24369,703,215,664,89,104,2832596
2015/09/19 00:14:16,15236,5529,25739,24378,703,215,664,89,104,2832916
2015/09/19 09:24:29,15489,5935,26096,24562,703,215,664,89,104,2833556
2015/09/19 10:02:11,15478,4148,25756,24859,706,218,660,89,104,2834100
2015/09/19 10:02:56,15483,4167,25759,24860,706,218,661,89,104,2834100
2015/09/19 10:08:02,15470,4158,25762,24941,706,218,661,89,104,2834130
2015/09/19 16:56:08,12791,3395,21712,18689,706,222,645,89,104,2836118
2015/09/19 16:57:36,12955,3596,21736,18791,706,222,645,89,104,2836188
2015/09/19 16:58:37,12955,3596,21736,18791,706,222,645,89,104,2836188
2015/09/19 17:01:43,12958,3599,21739,18792,706,222,645,89,104,2836208
2015/09/19 17:39:54,12716,3279,21828,18720,707,222,647,89,104,2836895
2015/09/19 18:10:07,12746,3309,21858,18730,707,222,647,89,104,2836895
2015/09/19 18:59:38,12957,3761,22200,18997,707,222,647,89,104,2837349
2015/09/19 19:09:14,12953,3761,22212,19081,707,222,647,89,104,2837507
2015/09/19 19:15:55,12913,3735,22218,19083,707,222,647,89,104,2837507
2015/09/19 20:19:27,13235,4116,22272,19205,707,222,647,89,104,2838070
2015/09/19 21:00:25,13164,4082,22304,19299,707,222,647,89,104,2838548
2015/09/19 21:52:02,13107,4179,22317,19497,707,221,647,89,104,2839224
2015/09/19 22:13:07,13128,4200,22338,19504,707,221,647,89,104,2839224
2015/09/19 22:14:48,13383,4419,22341,19505,707,221,647,89,104,2839269
2015/09/19 22:30:36,13382,4422,22356,19590,707,221,647,89,104,2839299
2015/09/19 23:04:48,13415,4455,22389,19601,707,221,647,89,104,2839299
2015/09/19 23:08:18,13551,4641,22413,19623,707,221,647,89,104,2839499
2015/09/19 23:34:09,13562,4656,22440,19712,707,221,647,89,104,2839529
2015/09/20 00:06:22,13487,4612,22473,19803,707,221,647,89,104,2839815
2015/09/20 00:17:20,13434,4588,22453,19806,707,220,647,89,104,2839975
2015/09/20 01:01:18,13417,4588,22498,19901,707,220,647,89,104,2840325
2015/09/20 01:14:06,13321,4522,22510,19985,707,220,647,89,104,2840515
2015/09/20 08:33:34,13675,4930,22872,20132,707,220,647,89,104,2840675
2015/09/20 09:09:07,13612,4167,23558,20879,708,221,650,89,104,2841415
2015/09/20 09:30:50,14019,3419,22997,21406,711,226,646,89,104,2842045
2015/09/20 09:59:58,13971,3403,23000,21496,711,226,646,89,104,2842235
2015/09/20 10:05:30,13974,3406,23003,21497,711,226,646,89,104,2842235
2015/09/20 10:29:55,14132,3611,23051,21527,711,226,646,89,104,2842403
2015/09/20 11:00:15,14468,3962,23218,21717,711,226,647,89,104,2842798
2015/09/20 11:57:38,14594,4151,23296,21837,711,226,647,89,104,2843028
2015/09/20 12:21:50,14618,4175,23320,21845,711,226,647,89,104,2843028
2015/09/20 12:23:51,14621,4178,23323,21846,711,226,647,89,104,2843028
2015/09/20 12:27:13,14624,4181,23326,21847,711,226,647,89,104,2843028
2015/09/20 13:13:04,14586,4178,23392,21972,711,228,647,89,104,2843314
2015/09/20 14:00:09,15227,4997,23718,22319,711,228,647,89,104,2843792
2015/09/20 14:01:02,15227,4997,23718,22319,711,228,647,89,104,2843792
2015/09/20 15:11:05,15251,5131,23770,22443,711,228,647,89,104,2844470
2015/09/20 16:03:13,15511,5392,23812,22541,711,228,647,89,104,2845166
2015/09/20 16:32:11,15634,5601,23867,22701,712,228,648,89,104,2845524
2015/09/20 17:38:20,15573,5589,23897,22803,712,228,648,89,104,2845842
2015/09/20 17:49:07,15508,5562,23873,22887,712,228,648,89,104,2846032
2015/09/20 17:59:02,15654,5755,23903,22911,712,228,648,89,104,2846232
2015/09/20 18:00:45,15657,5778,23956,22912,712,229,648,89,104,2846232
2015/09/20 19:00:21,15478,5516,24016,22912,712,229,649,89,104,2846857
2015/09/20 20:00:08,15296,4747,23653,23033,712,229,649,89,104,2848223
2015/09/20 21:22:53,15507,5043,23748,23241,712,229,649,89,104,2849104
2015/09/20 22:03:18,15392,4982,23765,23335,712,228,649,89,104,2849582
2015/09/20 22:43:44,15706,5339,23825,23449,712,228,649,89,104,2850145
2015/09/20 23:00:11,15666,5129,23653,23535,712,228,649,89,104,2850495
2015/09/21 13:16:33,17466,5776,24922,24920,715,238,648,91,104,2857147
2015/09/21 13:18:45,17622,5967,24945,25021,715,238,648,91,104,2857217
2015/09/21 14:01:18,17853,5782,24967,25315,716,239,648,91,104,2859827
2015/09/21 15:06:27,18671,6838,25809,26217,716,240,651,91,104,2861833
2015/09/21 15:07:53,18563,7245,26122,26217,716,241,651,91,104,2861903
2015/09/21 15:14:34,18569,7251,26128,26219,716,241,651,91,104,2861903
2015/09/21 15:51:35,18580,7390,26197,26232,716,241,651,91,104,2861923
2015/09/21 16:16:26,18604,7414,26221,26240,716,241,651,91,104,2862083
2015/09/21 16:17:42,19325,7580,26241,26260,716,243,651,92,104,2862123
2015/09/21 17:00:22,19284,7682,26293,26325,717,241,652,92,104,2862628
2015/09/21 17:13:28,14780,5238,21335,19154,717,241,633,92,104,2862868
2015/09/21 18:00:37,14889,6092,21858,19190,717,242,633,92,104,2863028
2015/09/21 18:04:42,14848,6069,21861,19191,717,242,633,92,104,2863156
2015/09/21 18:32:02,14861,6283,22126,19218,717,242,633,92,104,2863176
2015/09/21 19:00:07,14787,6261,22125,19228,717,242,633,92,104,2863464
2015/09/21 19:43:47,14846,6637,22247,19262,717,242,633,92,104,2863832
2015/09/21 19:50:26,14852,6643,22253,19264,717,242,633,92,104,2863832
2015/09/21 20:00:00,14836,6755,22295,19268,717,242,633,92,104,2863852
2015/09/21 20:44:32,14682,6810,22306,19282,717,243,633,92,104,2864320
2015/09/21 20:51:01,14533,7093,22497,19285,717,241,633,92,104,2864490
2015/09/21 21:00:19,14631,7210,22526,19308,717,241,633,92,104,2864530
2015/09/21 21:01:43,14631,7210,22526,19308,717,241,633,92,104,2864530
2015/09/21 21:23:22,14624,7331,22577,19315,717,242,633,92,104,2864550
2015/09/21 22:00:39,14816,7827,23146,19623,717,243,636,92,104,2867428
2015/09/21 23:14:12,14774,8161,23291,19667,717,244,636,92,104,2868148
2015/09/21 23:15:37,14749,8264,23324,19668,717,244,636,92,104,2868168
2015/09/21 23:17:15,14749,8264,23324,19668,717,244,636,92,104,2868168
2015/09/22 11:48:00,15276,8215,24452,20729,720,249,634,90,104,2872886
2015/09/22 12:02:47,15121,8586,24797,20764,720,252,634,90,104,2873276
2015/09/22 12:42:03,15359,9189,25126,20947,721,252,638,90,104,2873880
2015/09/22 12:58:36,15257,9245,25131,20952,721,253,638,90,104,2874148
2015/09/22 13:19:48,15278,9266,25152,20959,721,253,638,90,104,2874148
2015/09/22 13:22:10,15237,9243,25155,20960,721,253,638,90,104,2874276
2015/09/22 13:38:41,15393,9558,25220,20985,721,253,638,90,104,2874336
2015/09/22 14:05:38,15498,9959,25577,21144,721,254,638,90,104,2874516
2015/09/22 14:18:48,15513,9974,25592,21149,721,254,638,90,104,2874516
2015/09/22 16:36:57,15827,10548,26060,21595,721,254,640,91,104,2875086
2015/09/22 16:42:42,15886,10802,26116,21617,721,254,640,91,104,2875306
2015/09/22 17:00:40,15781,10516,26184,21548,721,255,641,91,104,2875576
2015/09/22 17:12:54,15698,10595,26147,21552,721,255,641,91,104,2875746
2015/09/22 18:19:39,15736,10761,26243,21574,721,256,641,91,104,2876141
2015/09/22 18:55:22,15354,10218,26374,21206,721,250,644,94,104,2884416
2015/09/22 19:02:38,15332,10324,26410,21208,721,251,644,94,104,2884436
2015/09/22 19:23:57,15446,10453,26434,21216,721,251,644,94,104,2884897
2015/09/22 20:00:41,15623,10789,26520,21248,721,251,644,94,104,2885117
2015/09/22 20:20:41,15486,10834,26547,21254,721,251,644,94,104,2885425
2015/09/22 20:22:27,15489,10837,26550,21255,721,251,644,94,104,2885425
2015/09/22 20:58:01,11445,8939,21616,14267,721,252,624,94,104,2885605
2015/09/22 21:03:30,11451,8945,21622,14269,721,252,624,94,104,2885605
2015/09/22 21:28:32,11616,9269,21696,14297,721,253,624,94,104,2885665
2015/09/22 21:55:33,11419,9408,21411,14306,721,254,624,94,104,2886210
2015/09/22 22:12:02,11429,9421,21429,14312,721,254,624,94,104,2886210
2015/09/22 23:01:34,11204,9595,21557,14348,721,255,624,94,104,2887090
2015/09/23 13:15:33,11954,9678,22542,15828,725,263,626,93,104,2889701
2015/09/23 14:00:00,12136,9938,22852,16323,725,267,627,93,104,2890891
2015/09/23 15:11:03,12566,10597,23241,16596,725,267,627,93,104,2891454
2015/09/23 15:49:23,12497,10709,23241,16609,725,268,627,93,104,2891602
2015/09/23 16:00:59,12596,10855,23485,16843,726,268,629,93,104,2892192
2015/09/23 16:27:30,12367,10589,23532,16767,726,268,630,93,104,2892352
2015/09/23 17:13:04,12289,10562,23556,16862,726,268,630,93,104,2892638
2015/09/23 17:16:28,12704,10916,23559,16863,726,268,630,93,104,2892728
2015/09/23 18:28:16,12624,10912,23563,16967,726,267,630,93,104,2893078
2015/09/23 19:00:48,12666,11073,23543,17078,726,267,630,93,104,2893596
2015/09/23 19:45:49,12903,11357,23608,17173,726,268,630,93,104,2894100
2015/09/23 20:01:02,12902,11360,23623,17258,726,268,630,93,104,2894130
2015/09/23 21:01:14,12870,11474,23635,17378,726,268,630,93,104,2894968
2015/09/23 21:26:04,12769,11412,23650,17466,726,268,630,93,104,2895318
2015/09/23 21:38:38,12894,11587,23678,17490,726,268,630,93,104,2895774
2015/09/23 22:01:21,12809,11545,23638,17578,726,268,630,93,104,2896169
2015/09/23 23:00:15,12693,11494,23667,17678,726,268,630,93,104,2896647
2015/09/24 11:11:32,13381,12315,24313,18021,726,268,630,93,104,2897197
2015/09/24 11:43:06,13259,11556,24836,18357,727,268,631,93,104,2897767
2015/09/24 12:03:58,13392,10668,24030,18554,728,271,629,93,104,2901325
2015/09/24 13:00:24,13602,10740,24554,18903,728,274,631,93,104,2910159
2015/09/24 14:13:04,13605,10662,24829,19187,729,275,633,93,104,2913428
2015/09/24 14:35:46,13663,10813,24863,19215,729,275,633,93,104,2913788
2015/09/24 15:02:53,13657,10828,24857,19304,729,275,633,93,104,2913818
2015/09/24 15:48:00,13584,10878,24899,19419,729,275,633,93,104,2914528
2015/09/24 16:12:12,13824,11106,24884,19507,729,275,633,93,104,2914603
2015/09/24 16:36:45,13766,11072,24908,19595,729,275,633,93,104,2914953
2015/09/24 17:11:50,13771,11301,25152,19757,729,274,633,93,104,2915113
2015/09/24 17:14:31,13940,11501,25172,19777,729,274,633,93,104,2915313
2015/09/24 17:37:29,13940,11540,25221,19935,729,274,633,93,104,2915343
2015/09/24 18:21:23,13925,11562,25226,19950,729,274,633,93,104,2915503
2015/09/24 18:41:55,13755,11079,25070,19732,729,274,633,93,104,2916028
2015/09/24 19:03:41,13575,11014,25042,19809,729,274,634,93,104,2916772
2015/09/24 19:04:16,13575,11014,25042,19889,729,274,634,93,104,2916802
2015/09/24 20:11:42,13346,10876,25075,19991,729,274,634,93,104,2917440
2015/09/24 21:02:56,13706,11279,25114,20109,729,274,634,93,104,2918240
2015/09/24 21:47:45,13649,11312,25159,20303,729,274,634,93,104,2918788
2015/09/24 22:04:32,13347,11194,24878,20309,729,273,634,93,104,2919236
2015/09/24 23:02:44,13089,10257,24488,20408,729,273,634,93,104,2919746
2015/09/24 23:07:38,13363,10462,24494,20490,729,273,634,93,104,2920026
2015/09/24 23:36:17,13562,10692,24544,20520,729,273,634,93,104,2920226
2015/09/24 23:36:53,13485,10640,24544,20520,729,273,634,93,104,2920226
2015/09/24 23:57:57,13490,10649,24565,20607,729,273,634,93,104,2920256
2015/09/25 00:08:26,13499,10658,24574,20610,729,273,634,93,104,2920256
